Work Item Id,Parent Work Item Id,TeamId,Created Date,Closed Date,State
6,,,2018-07-29 20:17:38,2018-07-30 16:09:11,Closed
7,63,,2018-07-29 20:17:38,2021-08-22 12:25:59,Closed
13,,,2018-07-29 20:17:38,2018-07-30 18:06:44,Closed
15,,,2018-07-29 20:17:38,2018-07-30 18:08:56,Closed
18,,,2018-07-29 20:17:38,2018-07-30 02:18:02,Closed
20,,,2018-07-29 20:17:38,2018-09-13 19:52:18,Closed
25,,,2018-07-29 20:17:38,2018-07-30 03:06:23,Closed
27,,,2018-07-29 20:17:38,2018-07-30 18:14:33,Closed
44,,,2018-07-29 21:21:08,2018-09-13 17:48:48,Closed
51,,,2018-07-29 21:21:08,2018-07-30 21:25:55,Closed
53,,,2018-07-30 01:17:43,2018-08-13 18:30:52,Closed
54,,,2018-07-30 01:18:19,2018-08-21 22:14:38,Closed
55,,,2018-07-30 01:18:32,2018-08-21 22:14:39,Closed
56,6,,2018-07-30 01:19:47,2018-07-30 01:20:01,Closed
57,6,,2018-07-30 01:20:27,2018-07-30 01:20:32,Closed
58,6,,2018-07-30 01:21:00,2018-07-30 01:21:15,Closed
59,6,,2018-07-30 01:21:32,2018-07-30 21:12:06,Closed
60,6,,2018-07-30 01:22:07,2018-07-30 21:12:08,Closed
61,7,,2018-07-30 01:23:39,2018-10-29 18:54:18,Closed
62,,,2018-07-30 01:38:36,2018-10-06 01:32:46,Closed
63,,,2018-07-30 01:39:59,2018-10-29 23:35:41,Closed
65,,,2018-07-30 01:54:23,2018-07-30 01:56:18,Closed
67,,,2018-07-30 01:55:31,2023-02-20 09:07:58,Closed
68,,,2018-07-30 01:55:42,2018-08-14 21:59:42,Closed
69,,,2018-07-30 01:57:04,2018-07-30 18:02:22,Closed
71,13,,2018-07-30 01:58:26,2018-07-30 18:05:37,Closed
72,13,,2018-07-30 01:59:15,2018-07-30 01:59:30,Closed
73,13,,2018-07-30 02:00:01,2018-07-30 21:12:14,Closed
74,,,2018-07-30 02:01:05,2018-09-10 17:13:41,Closed
75,,,2018-07-30 02:01:31,2018-09-13 16:57:26,Closed
77,,,2018-07-30 02:02:28,2018-07-30 02:02:34,Closed
78,15,,2018-07-30 02:14:44,2018-07-30 02:14:53,Closed
79,15,,2018-07-30 02:15:23,2018-07-30 18:09:03,Closed
80,,,2018-07-30 02:16:32,2018-07-30 18:10:07,Closed
81,,,2018-07-30 02:17:03,,Removed
82,,,2018-07-30 02:17:33,2022-04-15 22:29:35,Closed
83,,,2018-07-30 02:31:40,2018-07-30 18:27:01,Closed
84,,,2018-07-30 02:32:19,2018-09-10 17:13:59,Closed
85,,,2018-07-30 02:32:44,2018-07-30 02:33:09,Closed
86,,,2018-07-30 02:33:33,2018-07-30 02:33:39,Closed
88,20,,2018-07-30 02:36:40,2018-07-30 18:13:13,Closed
89,20,,2018-07-30 02:37:16,2018-08-29 20:23:12,Closed
90,20,,2018-07-30 02:37:48,2018-08-28 19:56:07,Closed
91,,,2018-07-30 02:39:34,2018-08-29 20:23:38,Closed
92,,,2018-07-30 02:40:09,2018-08-29 20:23:36,Closed
93,,,2018-07-30 02:40:36,2018-08-29 20:23:39,Closed
94,,,2018-07-30 02:42:23,2018-07-30 02:42:27,Closed
95,,,2018-07-30 02:42:42,2018-08-27 20:54:09,Closed
96,,,2018-07-30 02:43:23,2018-09-13 16:57:33,Closed
97,,,2018-07-30 02:45:45,2018-08-23 16:19:44,Closed
98,,,2018-07-30 02:46:12,2018-08-23 16:19:30,Closed
99,,,2018-07-30 02:46:38,2018-09-13 16:58:01,Closed
100,,,2018-07-30 02:47:19,2018-09-13 16:57:51,Closed
101,,,2018-07-30 02:47:39,2018-08-23 16:20:11,Closed
102,27,,2018-07-30 03:07:44,2018-07-30 03:07:50,Closed
103,27,,2018-07-30 03:21:53,2018-07-30 03:21:57,Closed
104,,,2018-07-30 03:22:47,2018-07-30 03:22:52,Closed
105,,,2018-07-30 03:23:13,2018-09-13 16:58:12,Closed
106,,,2018-07-30 03:25:46,2018-08-21 22:24:45,Closed
114,,,2018-07-30 03:31:36,,Removed
133,,,2018-07-30 16:11:31,2018-10-08 21:20:55,Closed
134,,,2018-07-30 16:11:56,2018-10-08 20:53:11,Closed
135,,,2018-07-30 16:14:05,2018-08-24 01:08:40,Closed
136,,,2018-07-30 16:14:21,2018-08-24 01:08:28,Closed
137,,,2018-07-30 16:14:44,2018-09-13 16:58:52,Closed
138,,,2018-07-30 16:16:21,2018-09-05 18:25:58,Closed
139,,,2018-07-30 16:17:08,2018-09-05 18:25:09,Closed
